,DEPTH,DT,GR,ILD,NPHI,RHOB,Porosidade_DT,Classe_poro_dt
285,3027.0,93.7148,88.6875,14.3125,27.9414,2.2874,0.28356992481203,Alta
286,3027.2,89.875,81.25,12.5781,27.4805,2.3108,0.25469924812030076,Alta
287,3027.4,84.375,72.375,11.4453,23.5625,2.3508,0.21334586466165414,Alta
288,3027.6,78.3125,68.8633,11.3125,17.0,2.4172,0.16776315789473684,Alta
289,3027.8,74.7578,72.625,11.7891,12.9023,2.4464,0.14103609022556393,Intermediária
290,3028.0,75.3047,78.375,12.1836,14.2305,2.4075,0.14514812030075186,Intermediária
291,3028.2,79.1875,83.1523,11.9062,19.625,2.335,0.17434210526315788,Alta
292,3028.4,83.7383,86.3477,10.7539,23.8594,2.29,0.2085586466165413,Alta
293,3028.6,87.3359,87.1755,9.2695,24.8477,2.3057,0.23560827067669168,Alta
294,3028.8,88.5354,85.418,8.0195,24.2539,2.3665,0.2446270676691729,Alta
295,3029.0,88.582,81.9453,7.3242,26.2422,2.3777,0.24497744360902252,Alta
296,3029.2,89.6328,77.8516,6.9258,28.8594,2.3281,0.2528781954887218,Alta
297,3029.4,89.7883,75.25,6.7766,28.1055,2.2937,0.2540473684210527,Alta
298,3029.6,88.4766,77.2891,6.9609,24.4258,2.3118,0.24418496240601506,Alta
299,3029.8,87.3242,81.625,7.3945,22.1953,2.3266,0.23552030075187974,Alta
300,3030.0,88.3555,86.8125,7.9258,22.4609,2.3168,0.24327443609022562,Alta
301,3030.2,90.9766,89.0625,8.4297,25.5781,2.3011,0.2629819548872181,Alta
302,3030.4,92.9023,85.75,8.9258,28.3594,2.2936,0.2774609022556391,Alta
303,3030.6,93.7578,81.3281,9.5,28.5898,2.2944,0.2838932330827068,Alta
304,3030.8,94.2617,79.6055,10.2344,27.6367,2.2913,0.2876819548872181,Alta
305,3031.0,95.7344,81.1953,10.9609,27.9727,2.2527,0.29875488721804505,Alta
306,3031.2,97.7109,84.4023,11.2808,28.4148,2.1973,0.3136157894736842,Muito alta
