,DEPTH,DT,GR,ILD,NPHI,RHOB
261,3022.2,62.375,48.7383,64.9336,6.5664,2.5791
262,3022.4,60.3086,53.3125,65.3125,6.1055,2.6125
263,3022.6,63.6562,58.875,74.125,9.5625,2.5347
264,3022.8,62.375,64.375,93.1875,15.6875,2.3918
265,3023.0,60.1641,66.9453,121.4375,21.5625,2.2578
266,3023.2,77.1875,65.2344,154.375,24.0742,2.1897
267,3023.4,91.75,64.7773,177.875,25.4492,2.1602
268,3023.6,95.6953,66.332,180.4727,26.0188,2.1541
269,3023.8,97.0898,67.1445,166.5625,25.3242,2.1627
270,3024.0,97.8164,66.375,157.9336,25.0508,2.1637
271,3024.2,98.3906,65.833,159.9375,25.8984,2.1519
272,3024.4,98.7344,66.707,177.6875,26.7197,2.14
273,3024.6,99.1016,67.3879,176.125,26.6484,2.1395
274,3024.8,99.8672,67.5835,128.75,26.4517,2.1466
275,3025.0,100.9609,68.5898,76.375,26.8516,2.1536
276,3025.2,101.5351,70.6758,46.5625,27.178,2.1648
277,3025.4,100.8477,71.9219,33.1875,26.8672,2.1926
278,3025.6,99.4187,71.2773,30.0508,26.9609,2.2221
279,3025.8,99.3083,69.9961,28.9609,27.4128,2.2068
280,3026.0,99.7695,70.4648,26.7188,26.9531,2.1653
281,3026.2,100.6055,74.625,23.6875,26.1914,2.1387
282,3026.4,100.3203,82.5625,20.8906,26.0078,2.1458
283,3026.6,98.8398,89.5,18.5781,25.999,2.1824
284,3026.8,96.5586,91.8281,16.3281,26.6641,2.2412
285,3027.0,93.7148,88.6875,14.3125,27.9414,2.2874
286,3027.2,89.875,81.25,12.5781,27.4805,2.3108
287,3027.4,84.375,72.375,11.4453,23.5625,2.3508
288,3027.6,78.3125,68.8633,11.3125,17.0,2.4172
289,3027.8,74.7578,72.625,11.7891,12.9023,2.4464
290,3028.0,75.3047,78.375,12.1836,14.2305,2.4075
291,3028.2,79.1875,83.1523,11.9062,19.625,2.335
292,3028.4,83.7383,86.3477,10.7539,23.8594,2.29
293,3028.6,87.3359,87.1755,9.2695,24.8477,2.3057
294,3028.8,88.5354,85.418,8.0195,24.2539,2.3665
295,3029.0,88.582,81.9453,7.3242,26.2422,2.3777
296,3029.2,89.6328,77.8516,6.9258,28.8594,2.3281
297,3029.4,89.7883,75.25,6.7766,28.1055,2.2937
298,3029.6,88.4766,77.2891,6.9609,24.4258,2.3118
299,3029.8,87.3242,81.625,7.3945,22.1953,2.3266
300,3030.0,88.3555,86.8125,7.9258,22.4609,2.3168
301,3030.2,90.9766,89.0625,8.4297,25.5781,2.3011
302,3030.4,92.9023,85.75,8.9258,28.3594,2.2936
303,3030.6,93.7578,81.3281,9.5,28.5898,2.2944
304,3030.8,94.2617,79.6055,10.2344,27.6367,2.2913
305,3031.0,95.7344,81.1953,10.9609,27.9727,2.2527
306,3031.2,97.7109,84.4023,11.2808,28.4148,2.1973
307,3031.4,98.6211,87.6367,11.2407,27.8555,2.1887
308,3031.6,97.4102,90.1055,11.2175,26.9727,2.2454
309,3031.8,95.1641,91.9531,11.0908,26.3906,2.3071
310,3032.0,93.2773,92.978,10.6367,25.7773,2.3365
311,3032.2,92.5195,92.4688,9.9453,25.6836,2.3355
312,3032.4,92.2227,89.5742,9.5664,26.4883,2.3213
313,3032.6,91.5664,84.0625,9.6951,27.1055,2.303
314,3032.8,89.8711,79.332,10.1875,26.4062,2.3012
315,3033.0,89.1602,78.9062,10.6602,23.8906,2.3215
316,3033.2,92.0664,82.625,10.926,20.082,2.3435
317,3033.4,94.3281,87.7109,11.0469,18.4883,2.3511
318,3033.6,90.875,90.9492,11.1541,20.7227,2.3533
319,3033.8,84.1875,91.2344,11.1541,22.5781,2.3464
320,3034.0,80.8711,87.5,10.8594,22.1589,2.324
321,3034.2,82.1562,80.4375,10.6475,22.9531,2.3066
322,3034.4,83.2734,74.8125,10.9922,24.5234,2.3101
323,3034.6,81.4961,73.6523,11.5703,22.5625,2.3352
324,3034.8,77.9258,75.7578,11.8533,18.5508,2.3595
325,3035.0,77.3984,78.3477,12.1875,18.2969,2.3445
326,3035.2,84.6875,80.1826,12.8672,21.5391,2.2986
327,3035.4,95.3125,79.3867,13.8281,23.6406,2.2736
328,3035.6,95.0625,75.5625,14.6758,22.5547,2.2961
329,3035.8,83.6875,75.4609,15.0703,17.5,2.3765
330,3036.0,73.6914,84.1875,14.7891,13.3718,2.4648
331,3036.2,73.6875,91.3125,13.9961,16.0,2.4592
332,3036.4,81.0,89.375,13.0469,22.0625,2.3801
